steps,rewards,times
53650000,-50.0,2023-05-08 13:02:29.688284
53700000,-50.0,2023-05-08 13:02:32.931785
53750000,-50.0,2023-05-08 13:02:35.938786
53800000,-50.0,2023-05-08 13:02:39.183786
53850000,-50.0,2023-05-08 13:02:42.517786
53900000,-50.0,2023-05-08 13:02:45.649285
53950000,-50.0,2023-05-08 13:02:48.908786
54000000,-50.0,2023-05-08 13:02:52.115285
54050000,-50.0,2023-05-08 13:02:55.109287
54100000,-50.0,2023-05-08 13:02:58.099285
54150000,-50.0,2023-05-08 13:03:01.286285
54200000,-50.0,2023-05-08 13:03:04.562286
54250000,-45.0,2023-05-08 13:03:07.768784
54300000,-50.0,2023-05-08 13:03:11.069784
54350000,-50.0,2023-05-08 13:03:14.449284
54400000,-50.0,2023-05-08 13:03:17.573785
54450000,-50.0,2023-05-08 13:03:20.917288
54500000,-50.0,2023-05-08 13:03:24.248784
54550000,-50.0,2023-05-08 13:03:27.317286
54600000,-50.0,2023-05-08 13:03:30.591288
54650000,-50.0,2023-05-08 13:03:33.798785
54700000,-45.0,2023-05-08 13:03:37.011786
54750000,-50.0,2023-05-08 13:03:40.326786
54800000,-45.0,2023-05-08 13:03:43.660285
54850000,-50.0,2023-05-08 13:03:46.914784
54900000,-50.0,2023-05-08 13:03:50.266784
54950000,-50.0,2023-05-08 13:03:53.435284
55000000,-50.0,2023-05-08 13:03:56.628785
55050000,-50.0,2023-05-08 13:03:59.803784
55100000,-50.0,2023-05-08 13:04:03.089784
55150000,-50.0,2023-05-08 13:04:06.147284
55200000,-50.0,2023-05-08 13:04:09.283784
55250000,-50.0,2023-05-08 13:04:12.538285
55300000,-50.0,2023-05-08 13:04:15.764284
